molecule_chembl_id,class,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL541133,active,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)c1nc(-c2cnc3ccc(Cl)cn23)cs1,434.886,4.1606200000000015,0.0,8.0,7.0
CHEMBL538346,active,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,348.36199999999997,2.980200000000001,1.0,7.0,8.0
CHEMBL541643,active,Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,313.38199999999995,2.900500000000001,1.0,6.0,6.657577319177793
CHEMBL556399,active,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,452.2900000000001,2.968020000000001,0.0,7.0,7.0
CHEMBL538346,active,Oc1cccc(-c2nc(N3CCOCC3)c3oc4ncccc4c3n2)c1,348.36199999999997,2.980200000000001,1.0,7.0,8.0
CHEMBL541643,active,Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,313.38199999999995,2.900500000000001,1.0,6.0,6.657577319177793
CHEMBL541643,active,Oc1cccc(-c2nc(N3CCOCC3)c3sccc3n2)c1,313.38199999999995,2.900500000000001,1.0,6.0,6.657577319177793
CHEMBL521851,active,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,513.6490000000003,2.1483999999999996,1.0,9.0,6.173925197299173
CHEMBL1256459,active,CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,607.6360000000003,6.831500000000006,0.0,6.0,6.260427655549908
CHEMBL1765602,active,Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1,432.4050000000001,5.201900000000003,1.0,5.0,7.610833915635467
CHEMBL1795875,active,CN1CCC(NC(=O)c2ccc(-c3ccc(-n4c(=O)ccc5cnc6ccc(-c7cnc8ccccc8c7)cc6c54)cc3C(F)(F)F)cc2)CC1,683.7340000000002,8.263900000000005,1.0,6.0,6.359518563029578
CHEMBL1922094,active,Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12,498.61300000000034,0.9005200000000009,2.0,11.0,6.100179497572904
CHEMBL2165017,active,COc1ccc(Nc2ncc(CN3CCN(S(C)(=O)=O)CC3)cc2-c2nc(C)nc(N)n2)cn1,485.5740000000003,1.0486200000000006,2.0,11.0,7.5376020021010435
CHEMBL2387080,active,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,460.5420000000003,3.174220000000002,1.0,9.0,6.534617148551582
CHEMBL3112866,active,C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,354.41,1.1268,1.0,5.0,6.0
CHEMBL2216870,active,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,415.43200000000013,3.7543000000000015,2.0,7.0,6.0
CHEMBL3218581,active,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(C(C)(C)C)n1,393.5380000000001,3.3541200000000018,2.0,6.0,6.335358024443875
CHEMBL98350,inactive,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,307.34900000000005,3.2966000000000024,0.0,4.0,4.982966660701219
CHEMBL3354566,active,Cn1c(=O)n(-c2ccc(C3(C#N)CC3)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,467.53200000000015,5.6477800000000045,0.0,6.0,7.356547323513812
CHEMBL1229535,active,CC(=O)/N=c1/[nH]c(C)c(-c2ccc(Cl)c(S(=O)(=O)NCCO)c2)s1,389.88600000000014,1.4228199999999998,3.0,5.0,6.853871964321762
