ID,LEARNING CENTER,BRANCH SCHOOL,TUTOR,HEAD TEACHER,ONLINE,OFFLINE
1,Accord School,Sheker'S IAS Study Circle,2,2,5,1
2,Akshra English Medium School,KARTHIK INSTITUTE OF POLICE COACHING,3,1,3,3
3,Narayana Junior College,CAREER LAUNCHER,2,3,3,2
4,S V Defence Academy,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,4,2,3
5,Anjali Junior College,ANALYST IAS ACADEMY,3,1,2,6
6,Accord School,VIGNESH COACHING CENTRE,4,4,2,1
7,S V Defence Academy,EMINENT COACHING CENTRE,2,2,4,6
8,Ashwamedha Junior College & Neet Medical Academy ,PANDITHA SUDHA COACHING CENTRE,3,2,3,6
9,Academic Heights Public School - AHPS,BANKERS ADD,2,2,5,4
10,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SKILL WORLD COMPUTERS,4,2,5,5
11,Nri Academy,SRI VISWAM COACHING CENTRE,2,1,1,4
12,Akshara High School,NIIT,3,4,2,6
13,Ashwamedha Junior College & Neet Medical Academy ,ANALYST IAS ACADEMY,4,4,1,2
14,Nri Academy,C L CAREER LAUNCHER,1,2,5,5
15,Akshra English Medium School,SKILL WORLD COMPUTERS,1,3,1,1
16,Sri Chaitanya Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,4,1,4,1
17,Accord School,JB INSTITUTE FOR COMPETITVE EXAMS,1,2,1,3
18,SDHR Junior & Degree & Pg College ,SREEDHAR'S CCE,2,2,2,4
19,Anu Vocational Junior College,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,3,1,1
20,SDHR Junior & Degree & Pg College ,SHINE IAS STUDY CIRCLE,3,1,4,5
21,Anjali Junior College,SAIMEDHA GATE COACHING CENTER,3,4,4,3
22,Sri Chaitanya Junior College ,PANDITHA SUDHA COACHING CENTRE,1,3,3,2
23,Arunodaya High School,MAHENDRA EDUCATIONAL PVT LTD,4,1,5,2
24,Akshara High School,MAHENDRA EDUCATIONAL PVT LTD,3,1,3,3
25,Akshra English Medium School,TALENTSPRINT PVT. LTD,4,3,2,4
26,Narayana Junior College,SRI VISWAM COACHING CENTRE,3,2,4,3
27,Anu Vocational Junior College,SRI KRISHNAVENI COACHING CENTRE,2,1,1,3
28,Sri Padmavathi Women's Junior College ,SRI KRISHNAVENI COACHING CENTRE,2,1,1,2
29,Sri Padmavathi Women's Junior College ,SHINE IAS STUDY CIRCLE,4,1,1,2
30,Nri Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,2,1
31,Anjali Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,2,3,2,1
32,Narayana Junior College,DAMS SKY,3,4,1,1
33,Sri Padmavathi Women's Junior College ,VIGNESH COACHING CENTRE,4,4,3,4
34,Akshara High School,MAHENDRA EDUCATIONAL PVT LTD,2,4,4,1
35,Sri Padmavathi Women's Junior College ,ROLLER SPORTS COACHING CENTRE,1,2,1,5
36,S V Defence Academy,VIVEK COACHING CENTRE,1,4,5,2
37,Alpha Gamma Sigma Junior College,VIVEK COACHING CENTRE,3,4,4,4
38,Narayana Junior College,EMINENT COACHING CENTRE,1,4,3,6
39,Sri Padmavathi Women's Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,1,4,2,2
40,Anjali Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,1,4,3,4
41,Anu Vocational Junior College,VIVEK COACHING CENTRE,4,1,1,2
42,Nri Academy,MY CAREER POINT,3,4,2,5
43,S V Defence Academy,SRI VISWAM COACHING CENTRE,1,2,5,1
44,Anu Vocational Junior College,ROLLER SPORTS COACHING CENTRE,4,4,4,2
45,Narayana Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,1,2,1,4
46,Arunodaya High School,SKILL WORLD COMPUTERS,1,4,3,3
47,Sri Chaitanya Junior College ,DAMS SKY,4,1,5,5
48,SDHR Junior & Degree & Pg College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,2,2,6
49,S V Defence Academy,TALENTSPRINT PVT. LTD,2,2,4,3
50,S V Defence Academy,KSRM COACHING CENTER,1,3,5,4
51,Arunodaya High School,EMINENT COACHING CENTRE,1,1,4,3
52,Nri Academy,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,2,2,5
53,S V Defence Academy,ACE ENGINEERING ACADEMY,1,1,3,1
54,Anjali Junior College,SREEDHAR'S CCE,1,3,4,5
55,S V Defence Academy,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,1,4,2
56,Narayana Junior College,IGNITE ACADEMY,3,2,5,2
57,Anjali Junior College,BANKERS ADD,4,3,5,1
58,Anjali Junior College,SRI VISWAM COACHING CENTRE,2,1,5,3
59,Alpha Gamma Sigma Junior College,BANKER'S ADDA,2,2,3,3
60,Anu Vocational Junior College,CAREER LAUNCHER,4,4,1,5
61,Arunodaya High School,SHINE IAS STUDY CIRCLE,4,1,4,2
62,Akshara High School,PANDITHA SUDHA COACHING CENTRE,4,3,3,4
63,Sri Chaitanya Junior College ,MY CAREER POINT,1,1,1,2
64,Arunodaya High School,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,1,4,2
65,Sri Chaitanya Junior College ,MY CAREER POINT,3,3,3,2
66,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,DAMS SKY,4,4,1,3
67,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,4,3,4
68,Sri Padmavathi Women's Junior College ,SRI VISWAM COACHING CENTRE,4,2,2,4
69,Anu Vocational Junior College,SKILL WORLD COMPUTERS,3,4,2,6
70,Academic Heights Public School - AHPS,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,2,5,2
71,Anu Vocational Junior College,SREEDHAR'S CCE,2,4,2,5
72,Akshara High School,VIGNESH COACHING CENTRE,3,2,2,5
73,Arunodaya High School,IGNITE ACADEMY,4,1,3,5
74,Academic Heights Public School - AHPS,SAIMEDHA EDUCATIONAL INSTITUTE,1,3,2,5
75,Akshara High School,VIVEK COACHING CENTRE,1,2,2,3
76,Arunodaya High School,BANKERS ADD,3,4,4,5
77,SDHR Junior & Degree & Pg College ,PANDITHA SUDHA COACHING CENTRE,4,4,2,3
78,Sri Chaitanya Junior College ,BANKERS ADD,2,1,3,3
79,Ashwamedha Junior College & Neet Medical Academy ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,3,2,5
80,Sri Padmavathi Women's Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,1,5,3
81,Sri Chaitanya Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,2,1,1
82,Accord School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,3,4,3
83,Alpha Gamma Sigma Junior College,VIGNESH COACHING CENTRE,4,1,1,3
84,Academic Heights Public School - AHPS,SREEDHAR'S CCE,1,3,3,3
85,Academic Heights Public School - AHPS,JB INSTITUTE FOR COMPETITVE EXAMS,3,1,4,5
86,Sri Padmavathi Women's Junior College ,ANALYST IAS ACADEMY,4,2,3,4
87,S V Defence Academy,ANALYST IAS ACADEMY,1,3,1,3
