,canonical_smiles,class
0,[H]c1nc(-c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])c(C([H])([H])[H])c2[H])c(C#Cc2c([H])nc(N([H])[H])c([H])c2[H])c(C([H])([H])C([H])([H])[H])n1,active
1,[H]c1nc(-c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])c(C([H])([H])[H])c2[H])c(C#Cc2c([H])nc(N([H])[H])c([H])c2[H])c(C([H])([H])C([H])([H])[H])n1,active
2,[H]c1nc(-c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])c(C([H])([H])[H])c2[H])c(C#Cc2c([H])nc(N([H])[H])c([H])c2[H])c(C([H])([H])C([H])([H])[H])n1,active
3,[H]c1nc(-c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])c(C([H])([H])[H])c2[H])c(C#Cc2c([H])nc(N([H])[H])c([H])c2[H])c(C([H])([H])C([H])([H])[H])n1,active
4,[H]c1nc(-c2c([H])c([H])c(C(=O)N3C([H])([H])C([H])([H])N(S(=O)(=O)C([H])([H])C([H])([H])[H])C([H])([H])C3([H])[H])c(C([H])([H])[H])c2[H])c(C#Cc2c([H])nc(N([H])[H])c([H])c2[H])c(C([H])([H])C([H])([H])[H])n1,active
5,[H]Oc1c([H])c([H])c([H])c(-c2nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc3c([H])c([H])c([H])nc23)c1[H],active
6,[H]Oc1c([H])c([H])c([H])c(-c2nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc3c([H])c([H])c([H])nc23)c1[H],active
7,[H]Oc1c([H])c([H])c([H])c(-c2nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc3c([H])c([H])c([H])nc23)c1[H],active
8,[H]Oc1c([H])c([H])c([H])c(-c2nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc3c([H])c([H])c([H])nc23)c1[H],active
9,[H]Oc1c([H])c([H])c([H])c(-c2nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc3c([H])c([H])c([H])nc23)c1[H],active
10,[H]c1c([H])c([H])c(N(C(=O)c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2-3)C([H])([H])[H])c(Cl)c1[H],active
11,[H]c1c([H])c([H])c(N(C(=O)c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2-3)C([H])([H])[H])c(Cl)c1[H],active
12,[H]c1c([H])c([H])c(N(C(=O)c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2-3)C([H])([H])[H])c(Cl)c1[H],active
13,[H]c1c([H])c([H])c(N(C(=O)c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2-3)C([H])([H])[H])c(Cl)c1[H],active
14,[H]c1c([H])c([H])c(N(C(=O)c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2-3)C([H])([H])[H])c(Cl)c1[H],active
15,[H]ON([H])C(=O)c1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c3nc([C@@]([H])(N([H])c4nc([H])nc(N([H])[H])c4C#N)C([H])([H])C([H])([H])[H])n(-c4c([H])c([H])c([H])c([H])c4[H])c(=O)c23)c([H])c1[H],active
16,[H]ON([H])C(=O)c1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c3nc([C@@]([H])(N([H])c4nc([H])nc(N([H])[H])c4C#N)C([H])([H])C([H])([H])[H])n(-c4c([H])c([H])c([H])c([H])c4[H])c(=O)c23)c([H])c1[H],active
17,[H]ON([H])C(=O)c1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c3nc([C@@]([H])(N([H])c4nc([H])nc(N([H])[H])c4C#N)C([H])([H])C([H])([H])[H])n(-c4c([H])c([H])c([H])c([H])c4[H])c(=O)c23)c([H])c1[H],active
18,[H]ON([H])C(=O)c1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c3nc([C@@]([H])(N([H])c4nc([H])nc(N([H])[H])c4C#N)C([H])([H])C([H])([H])[H])n(-c4c([H])c([H])c([H])c([H])c4[H])c(=O)c23)c([H])c1[H],active
19,[H]ON([H])C(=O)c1c([H])c([H])c(C([H])([H])N([H])c2c([H])c([H])c([H])c3nc([C@@]([H])(N([H])c4nc([H])nc(N([H])[H])c4C#N)C([H])([H])C([H])([H])[H])n(-c4c([H])c([H])c([H])c([H])c4[H])c(=O)c23)c([H])c1[H],active
20,[H]c1nc(-c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c(C(=O)N([H])[H])c([H])c([H])c2-3)n(-c2c([H])c([H])c(F)c([H])c2F)n1,active
21,[H]c1nc(-c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c(C(=O)N([H])[H])c([H])c([H])c2-3)n(-c2c([H])c([H])c(F)c([H])c2F)n1,active
22,[H]c1nc(-c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c(C(=O)N([H])[H])c([H])c([H])c2-3)n(-c2c([H])c([H])c(F)c([H])c2F)n1,active
23,[H]c1nc(-c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c(C(=O)N([H])[H])c([H])c([H])c2-3)n(-c2c([H])c([H])c(F)c([H])c2F)n1,active
24,[H]c1nc(-c2sc3c(c2[H])C([H])([H])C([H])([H])Oc2c([H])c(C(=O)N([H])[H])c([H])c([H])c2-3)n(-c2c([H])c([H])c(F)c([H])c2F)n1,active
25,[H]c1nc(N([H])[H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1-c1c([H])c([H])c2nc([H])c(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])n2c1[H],active
26,[H]c1nc(N([H])[H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1-c1c([H])c([H])c2nc([H])c(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])n2c1[H],active
27,[H]c1nc(N([H])[H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1-c1c([H])c([H])c2nc([H])c(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])n2c1[H],active
28,[H]c1nc(N([H])[H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1-c1c([H])c([H])c2nc([H])c(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])n2c1[H],active
29,[H]c1nc(N([H])[H])c(S(=O)(=O)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1-c1c([H])c([H])c2nc([H])c(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])n2c1[H],active
30,[H]c1sc(C([H])(C([H])([H])[H])C([H])([H])[H])nc1-c1sc(N([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C(=O)N([H])[H])nc1C([H])([H])[H],active
31,[H]c1sc(C([H])(C([H])([H])[H])C([H])([H])[H])nc1-c1sc(N([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C(=O)N([H])[H])nc1C([H])([H])[H],active
32,[H]c1sc(C([H])(C([H])([H])[H])C([H])([H])[H])nc1-c1sc(N([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C(=O)N([H])[H])nc1C([H])([H])[H],active
